Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (May 2018),Reform Jails and Community Reinvestment Initiative,Criminal Justice Reform,300000,5/1/2018,,,,,,,,,,,,,,
Colorado Criminal Justice Reform Coalition — General Support (2018),Colorado Criminal Justice Reform Coalition,Criminal Justice Reform,200000,5/1/2018,,,,,,,,,,,,,,
Mercy For Animals — US Broiler Chicken Welfare Corporate Campaigns (2018),Mercy For Animals,Farm Animal Welfare,375000,5/1/2018,,,,,,,,,,,,,,
Real Justice PAC — Criminal Justice Reform (May 2018) ,Real Justice PAC,Criminal Justice Reform,350000,5/1/2018,,,,,,,,,,,,,,
Faith in Action — Live Free Campaign (2018),Faith in Action,Criminal Justice Reform,800000,5/1/2018,,,,,,,,,,,,,,
SPIN Academy — Communications Training,SPIN Academy,Criminal Justice Reform,42000,5/1/2018,,,,,,,,,,,,,,
Helping Educate to Advance the Rights of Deaf Communities — General Support (2018),Helping Educate to Advance the Rights of Deaf Communities,Criminal Justice Reform,50000,5/1/2018,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Broiler Breed Study,Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,231677,5/1/2018,,,,,,,,,,,,,,
Open Phil AI Fellowship — 2018 Class,Open Phil AI Fellowship,Potential Risks from Advanced Artificial Intelligence,1135000,5/1/2018,,,,,,,,,,,,,,
Ought — General Support (2018),Ought,Potential Risks from Advanced Artificial Intelligence,525000,5/1/2018,,,,,,,,,,,,,,
Nick Otis — Forecasting Research,Nick Otis,Global Health & Development,10000,5/1/2018,,,,,,,,,,,,,,
Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2018),Early-Career Funding for Global Catastrophic Biological Risks,Biosecurity and Pandemic Preparedness,570000,5/1/2018,,,,,,,,,,,,,,
Greenburger Center for Social and Criminal Justice — Criminal Justice Convening,Greenburger Center for Social and Criminal Justice,Criminal Justice Reform,20000,5/1/2018,,,,,,,,,,,,,,
Gamechanger Labs — Student Organizing Initiative (2018),Gamechanger Labs,Criminal Justice Reform,400000,4/1/2018,,,,,,,,,,,,,,
IDinsight — Embedded GiveWell Team (2018) ,IDinsight,Global Health & Development,1196729,4/1/2018,,,,,,,,,,,,,,
International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2018),International Society for Applied Ethology,Farm Animal Welfare,135412,4/1/2018,,,,,,,,,,,,,,
Life Sciences Research Foundation  — Young Investigators (2018),Life Sciences Research Foundation,Scientific Research,780000,4/1/2018,,,,,,,,,,,,,,
Changing Tastes — Market Insights and Business Engagement on Fish Welfare,Changing Tastes,Farm Animal Welfare,50000,4/1/2018,,,,,,,,,,,,,,
Project South — Criminal Justice Reform Work,Project South,Criminal Justice Reform,50000,4/1/2018,,,,,,,,,,,,,,
Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure,Reform Jails and Community Reinvestment Initiative,Criminal Justice Reform,500000,4/1/2018,,,,,,,,,,,,,,
California YIMBY — General Support (April 2018),California YIMBY,Land Use Reform,500000,4/1/2018,,,,,,,,,,,,,,
Texas Freedom Network Education Fund — Texas Rising Program (2018),Texas Freedom Network Education Fund,Criminal Justice Reform,150000,4/1/2018,,,,,,,,,,,,,,
Stanford University — NIPS Workshop on Machine Learning Security,Stanford University,Potential Risks from Advanced Artificial Intelligence,6771,4/1/2018,,,,,,,,,,,,,,
VasoRX — Atherosclerosis Investment,VasoRX,Scientific Research,5400000,4/1/2018,,,,,,,,,,,,,,
Compassion in World Farming USA — General Support (2018),Compassion in World Farming USA,Farm Animal Welfare,1500000,3/1/2018,,,,,,,,,,,,,,
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (March 2018)",Ohio Safe and Healthy Communities Campaign,Criminal Justice Reform,500000,3/1/2018,,,,,,,,,,,,,,
Media Mobilizing Project — Criminal Justice Coalition,Media Mobilizing Project,Criminal Justice Reform,140000,3/1/2018,,,,,,,,,,,,,,
The Justice Collaborative — General Support (2018),The Justice Collaborative,Criminal Justice Reform,1800000,3/1/2018,,,,,,,,,,,,,,
Justice Strategies — General Support (2018),Justice Strategies,Criminal Justice Reform,100000,3/1/2018,,,,,,,,,,,,,,
ACTAsia — Reduce Fur Demand in Asia (2018),ACTAsia,Farm Animal Welfare,350000,3/1/2018,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (March 2018),National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,500000,3/1/2018,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2018),Schistosomiasis Control Initiative,Global Health & Development,2500000,3/1/2018,,,,,,,,,,,,,,
Harborlight Community Partners — YIMBYtown 2018 Conference,Harborlight Community Partners,Land Use Reform,40000,3/1/2018,,,,,,,,,,,,,,
Aquaculture Stewardship Council  — Organizational Development,Aquaculture Stewardship Council,Farm Animal Welfare,13813,3/1/2018,,,,,,,,,,,,,,
Centre for Effective Altruism — New Discretionary Fund,Centre for Effective Altruism,Other areas,5000000,3/1/2018,,,,,,,,,,,,,,
Brighter Green — Farm Animal Welfare Advocacy in China (2018),Brighter Green,Farm Animal Welfare,430000,3/1/2018,,,,,,,,,,,,,,
WildAid — Reducing Meat Consumption in Asia (2018),WildAid,Farm Animal Welfare,500000,3/1/2018,,,,,,,,,,,,,,
Global Priorities Institute — General Support,Global Priorities Institute,Other areas,3112969,2/1/2018,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2018),Center for Popular Democracy,Macroeconomic Stabilization Policy,1200000,2/1/2018,,,,,,,,,,,,,,
Center for Popular Democracy Action Fund — Fed Up Campaign (2018),Center for Popular Democracy Action Fund,Macroeconomic Stabilization Policy,100000,2/1/2018,,,,,,,,,,,,,,
Founders Pledge — General Support (2018),Founders Pledge,Other areas,5222653,2/1/2018,,,,,,,,,,,,,,
MIT Synthetic Neurobiology Group — Brain Mapping Research (Ed Boyden) (2018),MIT Synthetic Neurobiology Group,Scientific Research,3000000,2/1/2018,,,,,,,,,,,,,,
Center for Global Development — Pandemic Policy Project Led by Jeremy Konyndyk,Center for Global Development,Biosecurity and Pandemic Preparedness,49942,2/1/2018,,,,,,,,,,,,,,
Southerners On New Ground — Anti-Criminalization Work,Southerners On New Ground,Criminal Justice Reform,400000,2/1/2018,,,,,,,,,,,,,,
AI Scholarships — Scholarship Support (2018),AI Scholarships,Potential Risks from Advanced Artificial Intelligence,159000,2/1/2018,,,,,,,,,,,,,,
Justice Team Network — JusticeLA Campaign,Justice Team Network,Criminal Justice Reform,400000,2/1/2018,,,,,,,,,,,,,,
Columbia University — Beyond the Bars Conference 2018,Columbia University,Criminal Justice Reform,50000,2/1/2018,,,,,,,,,,,,,,
Better Eating International  — Millennial Vegan Survey,Better Eating International,Farm Animal Welfare,67110,2/1/2018,,,,,,,,,,,,,,
Mamoreruinochi wo Mamorukai — Legal Aid for Scientists in Japan,Mamoreruinochi wo Mamorukai,Scientific Research,40000,2/1/2018,,,,,,,,,,,,,,
Farm Forward — Leadership Circle (2018),Farm Forward,Farm Animal Welfare,165691,2/1/2018,,,,,,,,,,,,,,
Court Watch NOLA — General Support (February 2018),Court Watch NOLA,Criminal Justice Reform,100000,2/1/2018,,,,,,,,,,,,,,
Georgetown Center for Global Health Science and Security — General Support (2018),Georgetown Center for Global Health Science and Security,Biosecurity and Pandemic Preparedness,44627,2/1/2018,,,,,,,,,,,,,,
Voters Organized to Educate — General Support (2018),Voters Organized to Educate,Criminal Justice Reform,100000,2/1/2018,,,,,,,,,,,,,,
UCSF — Research on Antiviral Drugs (Raul Andino),"University of California, San Francisco",Scientific Research,880000,2/1/2018,,,,,,,,,,,,,,
"80,000 Hours — General Support (2018)","80,000 Hours",Other areas,510000,2/1/2018,,,,,,,,,,,,,,
Cynthia Schuck & Wladimir Alonso — DALY Project,Cynthia Schuck & Wladimir Alonso,Farm Animal Welfare,96130,2/1/2018,,,,,,,,,,,,,,
Texas Inmate Families Association — General Support (2018),Texas Inmate Families Association,Criminal Justice Reform,242000,2/1/2018,,,,,,,,,,,,,,
Detroit Justice Center — General Support,Detroit Justice Center,Criminal Justice Reform,50000,1/1/2018,,,,,,,,,,,,,,
Center for Applied Rationality — General Support (2018),Center for Applied Rationality,Other areas,1000000,1/1/2018,,,,,,,,,,,,,,
Blue Ribbon Study Panel on Biodefense— General Support (2018),Blue Ribbon Study Panel on Biodefense,Biosecurity and Pandemic Preparedness,2588162,1/1/2018,,,,,,,,,,,,,,
LatinoJustice — Media Fellowship,LatinoJustice,Criminal Justice Reform,50000,1/1/2018,,,,,,,,,,,,,,
Just Liberty — General Support (2018),Just Liberty,Criminal Justice Reform,569000,1/1/2018,,,,,,,,,,,,,,
Center for Applied Rationality —  SPARC (2018),Center for Applied Rationality,Other areas,560000,1/1/2018,,,,,,,,,,,,,,
Princeton University — Rescuing Biomedical Research (2018),Rescuing Biomedical Research,Scientific Research,409112,1/1/2018,,,,,,,,,,,,,,
Helen Keller International  — Vitamin A Supplementation (January 2018),Helen Keller International,Global Health & Development,7200000,1/1/2018,,,,,,,,,,,,,,
Sightsavers — Deworming Programs (January 2018),Sightsavers,Global Health & Development,2500000,1/1/2018,,,,,,,,,,,,,,
Beth Israel Deaconess Medical Center — Sepsis Therapy Clinical Trial (Michael Donnino),Beth Israel Deaconess Medical Center,Scientific Research,2939400,1/1/2018,,,,,,,,,,,,,,
Living Goods — General Support (January 2018),Living Goods,Global Health & Development,100000,1/1/2018,,,,,,,,,,,,,,
Brooklyn Community Bail Fund — National Bail Fund Network (2018),Brooklyn Community Bail Fund,Criminal Justice Reform,100000,1/1/2018,,,,,,,,,,,,,,
Silicon Valley De-Bug — Participatory Defense / Bail Fund Pilot,Silicon Valley De-Bug,Criminal Justice Reform,20600,1/1/2018,,,,,,,,,,,,,,
Niskanen Center — Research on Immigration Policy (2018),Niskanen Center,Immigration Policy,400000,1/1/2018,,,,,,,,,,,,,,
WaitList Zero — General Support (January 2018),WaitList Zero,U.S. Policy,100000,1/1/2018,,,,,,,,,,,,,,
Family Farm Action — Opposing the King Amendment ,Family Farm Action,Farm Animal Welfare,153000,12/1/2017,,,,,,,,,,,,,,
Aubin Pictures — Criminal Justice Media Archive Scoping,Aubin Pictures,Criminal Justice Reform,25000,12/1/2017,,,,,,,,,,,,,,
Smart Justice CA — California Criminal Justice Reform Lobbying (2017),Smart Justice CA,Criminal Justice Reform,25000,12/1/2017,,,,,,,,,,,,,,
The Ordinary People Society — General Support (2017),The Ordinary People Society,Criminal Justice Reform,280000,12/1/2017,,,,,,,,,,,,,,
The Prodigal Child Project — General Support,The Prodigal Child Project,Criminal Justice Reform,20000,12/1/2017,,,,,,,,,,,,,,
Mijente — Anti-Criminalization Work (2017),Mijente,Criminal Justice Reform,255000,12/1/2017,,,,,,,,,,,,,,
Humane Society Legislative Fund — Opposing the King Amendment,Humane Society Legislative Fund,Farm Animal Welfare,395094,12/1/2017,,,,,,,,,,,,,,
One Voice — General Support,One Voice,Criminal Justice Reform,20000,12/1/2017,,,,,,,,,,,,,,
Food Fortification Initiative — General Support (December 2017),Food Fortification Initiative,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
Voters Organized to Educate — General Support (2017),Voters Organized to Educate,Criminal Justice Reform,305000,12/1/2017,,,,,,,,,,,,,,
Color Of Change — Criminal Justice Reform (2017),Color Of Change,Criminal Justice Reform,1000000,12/1/2017,,,,,,,,,,,,,,
Blackbird — Ending Mass Incarceration (2017),Blackbird,Criminal Justice Reform,425000,12/1/2017,,,,,,,,,,,,,,
Urban Institute —  History of Philanthropy Project,Urban Institute,History of Philanthropy,165833,12/1/2017,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (December 2017),Evidence Action,Global Health & Development,15200000,12/1/2017,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (December 2017),Against Malaria Foundation,Global Health & Development,2500000,12/1/2017,,,,,,,,,,,,,,
American Society for Microbiology — Biothreats Meeting,American Society for Microbiology,Biosecurity and Pandemic Preparedness,43149,12/1/2017,,,,,,,,,,,,,,
Evidence Action — No Lean Season (December 2017),Evidence Action,Global Health & Development,11500000,12/1/2017,,,,,,,,,,,,,,
The Center for Election Science — General Support (2017),The Center for Election Science,Other areas,628600,12/1/2017,,,,,,,,,,,,,,
Carnegie Endowment for International Peace — Chinese and Indian Perspectives on Biotech Security Risks,Carnegie Endowment for International Peace,Biosecurity and Pandemic Preparedness,613380,12/1/2017,,,,,,,,,,,,,,
Iodine Global Network — General Support (December 2017),Iodine Global Network,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
Development Media International — General Support (December 2017),Development Media International,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — Universal Salt Iodization (December 2017),Global Alliance for Improved Nutrition,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
Project Healthy Children — General Support (December 2017),Project Healthy Children,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
Citizens for Juvenile Justice — General Support (2017),Citizens for Juvenile Justice,Criminal Justice Reform,75000,12/1/2017,,,,,,,,,,,,,,
The END Fund — Deworming Programs (December 2017),The END Fund,Global Health & Development,2500000,12/1/2017,,,,,,,,,,,,,,
Evidence Action — Dispensers for Safe Water Program (2017),Evidence Action,Global Health & Development,100000,12/1/2017,,,,,,,,,,,,,,
GiveDirectly — General Support (December 2017),GiveDirectly,Global Health & Development,2500000,12/1/2017,,,,,,,,,,,,,,
Evidence Action — General Operating Support,Evidence Action,Global Health & Development,800000,12/1/2017,,,,,,,,,,,,,,
Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2017),Malaria Consortium,Global Health & Development,27900000,12/1/2017,,,,,,,,,,,,,,
protocols.io — Platform Improvements,protocols.io,Scientific Research,200000,12/1/2017,,,,,,,,,,,,,,
University of Washington — Universal Flu Vaccine and Computational Protein Design (David Baker and Neil King),University of Washington (Institute for Protein Design),Scientific Research,11367500,11/1/2017,,,,,,,,,,,,,,
Arizona State University — Canine Cancer Vaccine Clinical Trial (Stephen Johnston),Arizona State University,Scientific Research,6421402,11/1/2017,,,,,,,,,,,,,,
The Good Food Institute — General Support (2017),The Good Food Institute,Farm Animal Welfare,1500000,11/1/2017,,,,,,,,,,,,,,
L214 — Broiler Welfare Campaigns in France,Association L214,Farm Animal Welfare,1347742,11/1/2017,,,,,,,,,,,,,,
fair-fish international association —  Fish Welfare Standards for Aquaculture,fair-fish international association,Farm Animal Welfare,453841,11/1/2017,,,,,,,,,,,,,,
New Incentives — General Support (November 2017),New Incentives ,Global Health & Development,5944203,11/1/2017,,,,,,,,,,,,,,
Youth First Initiative — General Support (2017),Youth First Initiative,Criminal Justice Reform,250000,11/1/2017,,,,,,,,,,,,,,
InterAcademy Partnership — Side Event at the BWC Meeting of State Parties,InterAcademy Partnership,Biosecurity and Pandemic Preparedness,14605,11/1/2017,,,,,,,,,,,,,,
theguardian.org — Journalism on Factory Farming and Farm Animal Cruelty,theguardian.org,Farm Animal Welfare,886600,11/1/2017,,,,,,,,,,,,,,
Aquaculture Stewardship Council  — Fish Welfare Standard Development,Aquaculture Stewardship Council,Farm Animal Welfare,533036,11/1/2017,,,,,,,,,,,,,,
Color Of Change PAC — Criminal Justice Reform,Color Of Change PAC,Criminal Justice Reform,200000,11/1/2017,,,,,,,,,,,,,,
Animal Equality — EU Farm Animal Welfare,Animal Equality,Farm Animal Welfare,2110460,11/1/2017,,,,,,,,,,,,,,
Otwarte Klatki — Chicken Welfare Campaigns and Merger Support,Otwarte Klatki,Farm Animal Welfare,472864,11/1/2017,,,,,,,,,,,,,,
David Manheim — Research on Existential Risk from Infectious Disease,David Manheim,Biosecurity and Pandemic Preparedness,65308,11/1/2017,,,,,,,,,,,,,,
Nuclear Threat Initiative — Biosecurity Program Support,Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,6000000,10/1/2017,,,,,,,,,,,,,,
Court Watch NOLA — General Support (October 2017),Court Watch NOLA,Criminal Justice Reform,100000,10/1/2017,,,,,,,,,,,,,,
Sightline Institute — Housing and Urban Development (2017),Sightline Institute,Land Use Reform,350000,10/1/2017,,,,,,,,,,,,,,
Anima — Chicken Welfare Campaigns and Merger Support,Anima,Farm Animal Welfare,683000,10/1/2017,,,,,,,,,,,,,,
Initiate Justice — Prisoner Education on Prop 57,Initiate Justice,Criminal Justice Reform,5000,10/1/2017,,,,,,,,,,,,,,
Compassion in World Farming — End the Cage Age Campaign,Compassion in World Farming,Farm Animal Welfare,1000000,10/1/2017,,,,,,,,,,,,,,
Harvard University — Animal Law and Policy Program,Harvard University ,Farm Animal Welfare,21200,10/1/2017,,,,,,,,,,,,,,
Essie Justice Group — General Support (2017),Essie Justice Group,Criminal Justice Reform,300000,10/1/2017,,,,,,,,,,,,,,
World Animal Net — Co-Organizing Workshops with the World Bank,World Animal Net,Farm Animal Welfare,50000,10/1/2017,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Chicken Welfare Campaign in the UK,Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,374631,10/1/2017,,,,,,,,,,,,,,
Dignity and Power Now — JusticeLA Campaign (2017),Dignity and Power Now,Criminal Justice Reform,500000,10/1/2017,,,,,,,,,,,,,,
Machine Intelligence Research Institute — General Support (2017),Machine Intelligence Research Institute,Potential Risks from Advanced Artificial Intelligence,3750000,10/1/2017,,,,,,,,,,,,,,
Brooklyn Community Bail Fund — National Bail Fund Network,Brooklyn Community Bail Fund,Criminal Justice Reform,404800,10/1/2017,,,,,,,,,,,,,,
Working Families Party — Prosecutor Reforms in New York (2017),"Working Families Party, Inc.",Criminal Justice Reform,109600,10/1/2017,,,,,,,,,,,,,,
UC Berkeley — AI Safety Research,UC Berkeley,Potential Risks from Advanced Artificial Intelligence,1450016,10/1/2017,,,,,,,,,,,,,,
GiveWell — General Support (2017),GiveWell,Global Health & Development,530764,10/1/2017,,,,,,,,,,,,,,
Global Aquaculture Alliance  — Fish Welfare Best Practices,Global Aquaculture Alliance,Farm Animal Welfare,435000,9/1/2017,,,,,,,,,,,,,,
Eurogroup for Animals — EU Chicken Welfare Advocacy (2017),Eurogroup for Animals,Farm Animal Welfare,625400,9/1/2017,,,,,,,,,,,,,,
Solar Radiation Management Governance Initiative — General Support (2017),Solar Radiation Management Governance Initiative,Global Catastrophic Risks,2000000,9/1/2017,,,,,,,,,,,,,,
New York Working Families — Criminal Justice Reform in New York,New York Working Families,Criminal Justice Reform,40000,9/1/2017,,,,,,,,,,,,,,
Albert Schweitzer Foundation — General Support,Albert Schweitzer Foundation,Farm Animal Welfare,1000000,9/1/2017,,,,,,,,,,,,,,
Global Animal Partnership  — Fish Welfare Standards,Global Animal Partnership,Farm Animal Welfare,285000,9/1/2017,,,,,,,,,,,,,,
Gamechanger Labs — Student Organizing Initiative,Gamechanger Labs,Criminal Justice Reform,100000,9/1/2017,,,,,,,,,,,,,,
Corrections Accountability Project — General Support (2017),Corrections Accountability Project,Criminal Justice Reform,100000,9/1/2017,,,,,,,,,,,,,,
Texas After Violence Project — Video Documentation Project,Texas After Violence Project,Criminal Justice Reform,52000,9/1/2017,,,,,,,,,,,,,,
We Got Us Now — General Support (2017),We Got Us Now,Criminal Justice Reform,100000,9/1/2017,,,,,,,,,,,,,,
The Humane League — Open Wing Alliance (2017),The Humane League,Farm Animal Welfare,2000000,9/1/2017,,,,,,,,,,,,,,
Florida Rights Restoration Coalition — Power Building (2017),Florida Rights Restoration Coalition,Criminal Justice Reform,558000,9/1/2017,,,,,,,,,,,,,,
Center for a New American Security — Technological Risks and National Security,Center for a New American Security,Global Catastrophic Risks,260000,8/1/2017,,,,,,,,,,,,,,
UC Berkeley — Aging Research (Irina Conboy) (2017),UC Berkeley,Scientific Research,5000000,8/1/2017,,,,,,,,,,,,,,
Centre for Pesticide Suicide Prevention — General Support,Centre for Pesticide Suicide Prevention,Global Health & Development,1336409,8/1/2017,,,,,,,,,,,,,,
Berkeley Existential Risk Initiative — Core Support and CHAI Collaboration,Berkeley Existential Risk Initiative,Potential Risks from Advanced Artificial Intelligence,403890,7/1/2017,,,,,,,,,,,,,,
Future of Research — Exit Grant,Future of Research,Scientific Research,150000,7/1/2017,,,,,,,,,,,,,,
Center for Effective Global Action at UC Berkeley — Scoping RCTs for Follow-Up,Center for Effective Global Action at UC Berkeley,Global Health & Development,492188,7/1/2017,,,,,,,,,,,,,,
Yale University — Research on the Global Politics of AI,Yale University,Potential Risks from Advanced Artificial Intelligence,299320,7/1/2017,,,,,,,,,,,,,,
Smithsonian Institution — Outbreak Exhibit,Smithsonian Institution,Biosecurity and Pandemic Preparedness,300000,7/1/2017,,,,,,,,,,,,,,
Charity Science Health — SMS Reminders for Immunization,Charity Science Health,Global Health & Development,357543,7/1/2017,,,,,,,,,,,,,,
The Ahimsa Collective — Restorative Justice Movement-Building Report,The Ahimsa Collective,Criminal Justice Reform,15000,7/1/2017,,,,,,,,,,,,,,
American Conservative Union Foundation — Center for Criminal Justice Reform (2017),American Conservative Union Foundation,Criminal Justice Reform,206000,7/1/2017,,,,,,,,,,,,,,
Federation of Indian Animal Protection Organisations — India Animal Welfare Reform,Federation of Indian Animal Protection Organisations,Farm Animal Welfare,332944,7/1/2017,,,,,,,,,,,,,,
Montreal Institute for Learning Algorithms — AI Safety Research,Montreal Institute for Learning Algorithms,Potential Risks from Advanced Artificial Intelligence,2400000,7/1/2017,,,,,,,,,,,,,,
"University of Pennsylvania — Philip Tetlock's “Making Conversations Smarter, Faster” Forecasting Project",University of Pennsylvania,Other areas,1550000,7/1/2017,,,,,,,,,,,,,,
Center for Effective Global Action at UC Berkeley — Deworming Study Planning Gift,Center for Effective Global Action at UC Berkeley,Global Health & Development,18000,6/1/2017,,,,,,,,,,,,,,
Dignity and Power Now — Convening to Oppose L.A. Jail Construction,Dignity and Power Now,Criminal Justice Reform,132000,6/1/2017,,,,,,,,,,,,,,
Duke University — Co-Crystallization of Hsp70i and Inhibitor HS-72 (Timothy Haystead),Duke University,Scientific Research,81500,6/1/2017,,,,,,,,,,,,,,
University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp),University of Notre Dame,Scientific Research,2054142,6/1/2017,,,,,,,,,,,,,,
"Humane Slaughter Association — Fish, Crustacean, and Cephalopod Welfare",Humane Slaughter Association,Farm Animal Welfare,2528678,6/1/2017,,,,,,,,,,,,,,
Animal Welfare Action Lab — Meat Reduction and Elimination Messaging Study,Animal Welfare Action Lab,Farm Animal Welfare,79100,6/1/2017,,,,,,,,,,,,,,
UCSF — Organ Regenerative Surgery (Tammy Chang),"University of California, San Francisco",Scientific Research,825000,6/1/2017,,,,,,,,,,,,,,
Humane Slaughter Association — Farm Animal Welfare Advocacy in China,Humane Slaughter Association,Farm Animal Welfare,419236,6/1/2017,,,,,,,,,,,,,,
Greater Greater Washington — Housing and Land Use Reform (2017),Greater Greater Washington,Land Use Reform,250000,6/1/2017,,,,,,,,,,,,,,
Eurogroup for Animals — Broiler Chicken Welfare Campaign,Eurogroup for Animals,Farm Animal Welfare,14961,5/1/2017,,,,,,,,,,,,,,
UCLA School of Law — AI Governance,UCLA School of Law,Potential Risks from Advanced Artificial Intelligence,1536222,5/1/2017,,,,,,,,,,,,,,
Compassion in World Farming USA — Latin America Broiler Chicken Welfare Research,Compassion in World Farming USA,Farm Animal Welfare,30000,5/1/2017,,,,,,,,,,,,,,
Forward Justice — Criminal Justice Reform Advocacy and Organizing,Forward Justice,Criminal Justice Reform,75000,5/1/2017,,,,,,,,,,,,,,
Humane Society International India — Animal Welfare Reform (2017),Humane Society International India,Farm Animal Welfare,1100000,5/1/2017,,,,,,,,,,,,,,
Stanford University — Support for Percy Liang,Stanford University,Potential Risks from Advanced Artificial Intelligence,1337600,5/1/2017,,,,,,,,,,,,,,
People for Animals — India Animal Welfare Reform,People for Animals,Farm Animal Welfare,120000,5/1/2017,,,,,,,,,,,,,,
Future of Life Institute — General Support (2017),Future of Life Institute,Global Catastrophic Risks,100000,5/1/2017,,,,,,,,,,,,,,
Animal Equality — India Animal Welfare Reform,Animal Equality,Farm Animal Welfare,292000,5/1/2017,,,,,,,,,,,,,,
JustLeadershipUSA — Campaign to Close Rikers Summer Canvassing Support,JustLeadershipUSA,Criminal Justice Reform,63807,5/1/2017,,,,,,,,,,,,,,
Center for Applied Rationality — European Summer Program on Rationality,Center for Applied Rationality,Other areas,340000,5/1/2017,,,,,,,,,,,,,,
North Carolina State University — DIYbio Labs Project,North Carolina State University,Biosecurity and Pandemic Preparedness,252725,5/1/2017,,,,,,,,,,,,,,
IDinsight — Embedded GiveWell Team (2017),IDinsight,Global Health & Development,2321617,5/1/2017,,,,,,,,,,,,,,
Mercy For Animals — India Animal Welfare Reform,Mercy For Animals,Farm Animal Welfare,500000,5/1/2017,,,,,,,,,,,,,,
Target Malaria — Gene Drives for Malaria Control,Target Malaria,Scientific Research,17500000,5/1/2017,,,,,,,,,,,,,,
Genspace — DIYbio Labs Project,Genspace ,Biosecurity and Pandemic Preparedness,454025,5/1/2017,,,,,,,,,,,,,,
"National Academies of Sciences, Engineering, and Medicine — International Meeting on Governance of Dual-Use Research","National Academies of Sciences, Engineering, and Medicine",Biosecurity and Pandemic Preparedness,452545,5/1/2017,,,,,,,,,,,,,,
Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky),Rockefeller University,Scientific Research,1600000,4/1/2017,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support (2017),Alliance for Safety and Justice,Criminal Justice Reform,4000000,4/1/2017,,,,,,,,,,,,,,
Court Watch NOLA — General Support,Court Watch NOLA,Criminal Justice Reform,25000,4/1/2017,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2017),Foundation for Food and Agriculture Research,Farm Animal Welfare,1000000,4/1/2017,,,,,,,,,,,,,,
The Greenfield Project — General Support,The Greenfield Project,Farm Animal Welfare,500000,4/1/2017,,,,,,,,,,,,,,
New Partnership for Africa’s Development Planning and Coordinating Agency — General Support,New Partnership for Africa’s Development,Scientific Research,2350000,4/1/2017,,,,,,,,,,,,,,
East Bay Forward — YIMBYtown 2017 Conference,East Bay Forward,Land Use Reform,40000,4/1/2017,,,,,,,,,,,,,,
Alliance for Safety and Justice Action Fund — General Support (2017),Alliance for Safety and Justice Action Fund,Criminal Justice Reform,1000000,4/1/2017,,,,,,,,,,,,,,
BioBricks Foundation — Biosecurity Activities at SB7.0,BioBricks Foundation,Biosecurity and Pandemic Preparedness,152950,4/1/2017,,,,,,,,,,,,,,
American Civil Liberties Union Foundation — Disability Rights Fellowship,American Civil Liberties Union Foundation,Criminal Justice Reform,45000,4/1/2017,,,,,,,,,,,,,,
Common Justice — General Support,Common Justice,Criminal Justice Reform,100000,4/1/2017,,,,,,,,,,,,,,
Animal Charity Evaluators — General Support,Animal Charity Evaluators,Farm Animal Welfare,500000,4/1/2017,,,,,,,,,,,,,,
Center for Effective Global Action at UC Berkeley — KLPS-4 Survey,Center for Effective Global Action at UC Berkeley,Global Health & Development,1104259,4/1/2017,,,,,,,,,,,,,,
New Incentives — General Support (April 2017),New Incentives,Global Health & Development,820000,4/1/2017,,,,,,,,,,,,,,
Evidence Action — Strengthen Operations,Evidence Action,Global Health & Development,2642300,4/1/2017,,,,,,,,,,,,,,
Rutgers University — Nuclear Conflict Climate Modeling,Rutgers University,Global Catastrophic Risks,2982206,3/1/2017,,,,,,,,,,,,,,
College and Community Fellowship — General Support,College and Community Fellowship,Criminal Justice Reform,50000,3/1/2017,,,,,,,,,,,,,,
